testType,requestBytes,responseBytes,executionNanos
TCP,262144,262144,1432277
TCP,262144,262144,371945
TCP,262144,262144,581976
TCP,262144,262144,1143744
TCP,262144,262144,1182516
TCP,262144,262144,1325067
TCP,262144,262144,1089720
TCP,262144,262144,375913
TCP,262144,262144,922684
TCP,262144,262144,1200530
TCP,262144,262144,1200442
TCP,262144,262144,961586
TCP,262144,262144,1271089
TCP,262144,262144,910697
TCP,262144,262144,1073084
TCP,262144,262144,1038253
TCP,262144,262144,1202471
TCP,262144,262144,1203289
TCP,262144,262144,-1
TCP,262144,262144,-1
TCP,262144,262144,-1
TCP,262144,262144,692342
TCP,262144,262144,1384873
TCP,262144,262144,-1
TCP,262144,262144,1469849
TCP,262144,262144,1319994
TCP,262144,262144,1177952
TCP,262144,262144,1469339
TCP,262144,262144,1199372
TCP,262144,262144,1290853
TCP,262144,262144,1313868
TCP,262144,262144,1392701
TCP,262144,262144,1358460
TCP,262144,262144,1357650
TCP,262144,262144,1151163
TCP,262144,262144,1011359
TCP,262144,262144,1310453
TCP,262144,262144,1238396
TCP,262144,262144,1262806
TCP,262144,262144,1011791
TCP,262144,262144,1533622
TCP,262144,262144,1281308
TCP,262144,262144,1149113
TCP,262144,262144,1266226
TCP,262144,262144,1220232
TCP,262144,262144,1396505
TCP,262144,262144,1367863
TCP,262144,262144,1369003
TCP,262144,262144,-1
TCP,262144,262144,-1
TCP,262144,262144,1204828
TCP,262144,262144,-1
TCP,262144,262144,1192138
TCP,262144,262144,1236078
TCP,262144,262144,1142496
TCP,262144,262144,948781
TCP,262144,262144,1071804
TCP,262144,262144,1398211
TCP,262144,262144,-1
TCP,262144,262144,1255471
TCP,262144,262144,1131697
TCP,262144,262144,1122013
TCP,262144,262144,1013935
TCP,262144,262144,1086843
TCP,262144,262144,1263025
TCP,262144,262144,1242528
TCP,262144,262144,906133
TCP,262144,262144,807844
TCP,262144,262144,-1
TCP,262144,262144,1192079
TCP,262144,262144,1366198
TCP,262144,262144,-1
TCP,262144,262144,1121061
TCP,262144,262144,1123754
TCP,262144,262144,1341387
TCP,262144,262144,1311248
TCP,262144,262144,1254685
TCP,262144,262144,-1
TCP,262144,262144,1228631
TCP,262144,262144,1336154
TCP,262144,262144,1409155
TCP,262144,262144,1013982
TCP,262144,262144,-1
TCP,262144,262144,759261
TCP,262144,262144,1160736
TCP,262144,262144,1101397
TCP,262144,262144,1078517
TCP,262144,262144,848302
TCP,262144,262144,1085418
TCP,262144,262144,1240998
TCP,262144,262144,-1
TCP,262144,262144,924160
TCP,262144,262144,-1
TCP,262144,262144,1206558
TCP,262144,262144,1214516
TCP,262144,262144,1270273
TCP,262144,262144,1091350
TCP,262144,262144,1087940
TCP,262144,262144,-1
TCP,262144,262144,1040316
TCP,262144,262144,1204532
TCP,262144,262144,945626
TCP,262144,262144,1051074
TCP,262144,262144,387508
TCP,262144,262144,-1
TCP,262144,262144,667863
TCP,262144,262144,1194010
TCP,262144,262144,1053509
TCP,262144,262144,1372917
TCP,262144,262144,1090070
TCP,262144,262144,1043847
TCP,262144,262144,1207966
TCP,262144,262144,1072938
TCP,262144,262144,1440882
TCP,262144,262144,1242491
TCP,262144,262144,1476846
TCP,262144,262144,1097011
TCP,262144,262144,1108177
