testType,requestBytes,responseBytes,executionNanos
JNI,262144,16,15861
JNI,262144,16,43122
JNI,262144,16,24078
JNI,262144,16,20409
JNI,262144,16,19718
JNI,262144,16,20710
JNI,262144,16,18701
JNI,262144,16,18455
JNI,262144,16,17893
JNI,262144,16,17208
JNI,262144,16,16973
JNI,262144,16,16814
JNI,262144,16,17203
JNI,262144,16,16516
JNI,262144,16,16710
JNI,262144,16,16554
JNI,262144,16,16691
JNI,262144,16,16884
JNI,262144,16,16223
JNI,262144,16,16240
JNI,262144,16,16200
JNI,262144,16,16511
JNI,262144,16,16705
JNI,262144,16,16136
JNI,262144,16,16524
JNI,262144,16,16083
JNI,262144,16,15770
JNI,262144,16,16256
JNI,262144,16,15895
JNI,262144,16,15970
JNI,262144,16,16090
JNI,262144,16,16007
JNI,262144,16,19841
JNI,262144,16,16306
JNI,262144,16,16704
JNI,262144,16,15670
JNI,262144,16,16422
JNI,262144,16,15477
JNI,262144,16,15524
JNI,262144,16,15298
JNI,262144,16,15693
JNI,262144,16,15655
JNI,262144,16,15488
JNI,262144,16,15646
JNI,262144,16,15686
JNI,262144,16,15422
JNI,262144,16,15397
JNI,262144,16,15483
JNI,262144,16,15525
JNI,262144,16,15574
JNI,262144,16,15264
JNI,262144,16,15540
JNI,262144,16,15358
JNI,262144,16,15791
JNI,262144,16,15534
JNI,262144,16,15676
JNI,262144,16,15880
JNI,262144,16,15759
JNI,262144,16,16238
JNI,262144,16,15956
JNI,262144,16,16452
JNI,262144,16,15829
JNI,262144,16,16069
JNI,262144,16,15831
JNI,262144,16,15480
JNI,262144,16,15300
JNI,262144,16,15332
JNI,262144,16,15361
JNI,262144,16,15478
JNI,262144,16,15380
JNI,262144,16,15207
JNI,262144,16,15029
JNI,262144,16,15144
JNI,262144,16,18904
JNI,262144,16,17739
JNI,262144,16,15043
JNI,262144,16,14980
JNI,262144,16,15316
JNI,262144,16,15562
JNI,262144,16,15235
JNI,262144,16,15337
JNI,262144,16,15443
JNI,262144,16,15280
JNI,262144,16,15348
JNI,262144,16,15341
JNI,262144,16,15230
JNI,262144,16,15179
JNI,262144,16,15105
JNI,262144,16,15179
JNI,262144,16,15069
JNI,262144,16,15112
JNI,262144,16,14964
JNI,262144,16,15069
JNI,262144,16,14997
JNI,262144,16,15066
JNI,262144,16,15789
JNI,262144,16,15709
JNI,262144,16,15945
JNI,262144,16,16387
JNI,262144,16,16008
JNI,262144,16,15521
JNI,262144,16,15530
JNI,262144,16,15665
