testType,requestBytes,responseBytes,executionNanos
JNI,1048576,16,62653
JNI,1048576,16,146299
JNI,1048576,16,120629
JNI,1048576,16,90097
JNI,1048576,16,82948
JNI,1048576,16,76585
JNI,1048576,16,78278
JNI,1048576,16,66639
JNI,1048576,16,64410
JNI,1048576,16,69368
JNI,1048576,16,91874
JNI,1048576,16,90559
JNI,1048576,16,79617
JNI,1048576,16,70155
JNI,1048576,16,70208
JNI,1048576,16,70568
JNI,1048576,16,75117
JNI,1048576,16,73066
JNI,1048576,16,77649
JNI,1048576,16,78648
JNI,1048576,16,93811
JNI,1048576,16,112805
JNI,1048576,16,84514
JNI,1048576,16,85692
JNI,1048576,16,101668
JNI,1048576,16,89224
JNI,1048576,16,115770
JNI,1048576,16,104753
JNI,1048576,16,103016
JNI,1048576,16,131290
JNI,1048576,16,228359
JNI,1048576,16,90009
JNI,1048576,16,77658
JNI,1048576,16,84920
JNI,1048576,16,112598
JNI,1048576,16,119710
JNI,1048576,16,103988
JNI,1048576,16,80973
JNI,1048576,16,68079
JNI,1048576,16,669212
JNI,1048576,16,260999
JNI,1048576,16,98600
JNI,1048576,16,90561
JNI,1048576,16,84440
JNI,1048576,16,95348
JNI,1048576,16,74461
JNI,1048576,16,61404
JNI,1048576,16,59787
JNI,1048576,16,68373
JNI,1048576,16,59380
JNI,1048576,16,59189
JNI,1048576,16,59592
JNI,1048576,16,58598
JNI,1048576,16,58608
JNI,1048576,16,68872
JNI,1048576,16,60304
JNI,1048576,16,72069
JNI,1048576,16,71304
JNI,1048576,16,76558
JNI,1048576,16,105232
JNI,1048576,16,88487
JNI,1048576,16,72984
JNI,1048576,16,98836
JNI,1048576,16,88406
JNI,1048576,16,84859
JNI,1048576,16,87871
JNI,1048576,16,244440
JNI,1048576,16,108315
JNI,1048576,16,74337
JNI,1048576,16,66246
JNI,1048576,16,232564
JNI,1048576,16,89060
JNI,1048576,16,80308
JNI,1048576,16,67778
JNI,1048576,16,69601
JNI,1048576,16,79015
JNI,1048576,16,65474
JNI,1048576,16,60152
JNI,1048576,16,69409
JNI,1048576,16,57679
JNI,1048576,16,1037708
JNI,1048576,16,118036
JNI,1048576,16,77723
JNI,1048576,16,71419
JNI,1048576,16,66945
JNI,1048576,16,68392
JNI,1048576,16,60525
JNI,1048576,16,57602
JNI,1048576,16,58499
JNI,1048576,16,61601
JNI,1048576,16,184514
JNI,1048576,16,67644
JNI,1048576,16,65492
JNI,1048576,16,65666
JNI,1048576,16,83822
JNI,1048576,16,128563
JNI,1048576,16,94190
JNI,1048576,16,76737
JNI,1048576,16,77822
JNI,1048576,16,107480
JNI,1048576,16,75736
JNI,1048576,16,70444
JNI,1048576,16,74576
JNI,1048576,16,81521
JNI,1048576,16,89201
JNI,1048576,16,76031
JNI,1048576,16,76128
JNI,1048576,16,74551
JNI,1048576,16,129157
JNI,1048576,16,75550
JNI,1048576,16,64397
JNI,1048576,16,61163
JNI,1048576,16,60344
JNI,1048576,16,89542
JNI,1048576,16,71897
JNI,1048576,16,65300
JNI,1048576,16,70935
JNI,1048576,16,70420
JNI,1048576,16,110115
JNI,1048576,16,78114
JNI,1048576,16,74355
JNI,1048576,16,73050
JNI,1048576,16,106255
JNI,1048576,16,88918
JNI,1048576,16,247804
JNI,1048576,16,84123
JNI,1048576,16,71419
JNI,1048576,16,65569
JNI,1048576,16,98052
JNI,1048576,16,80776
JNI,1048576,16,67361
JNI,1048576,16,61430
JNI,1048576,16,58794
JNI,1048576,16,69792
JNI,1048576,16,58927
JNI,1048576,16,72643
JNI,1048576,16,57740
JNI,1048576,16,57758
JNI,1048576,16,60131
JNI,1048576,16,61157
JNI,1048576,16,78860
JNI,1048576,16,100727
JNI,1048576,16,73243
JNI,1048576,16,70355
JNI,1048576,16,78637
JNI,1048576,16,78530
JNI,1048576,16,91249
JNI,1048576,16,70909
JNI,1048576,16,66641
JNI,1048576,16,65266
JNI,1048576,16,237124
JNI,1048576,16,106507
JNI,1048576,16,75961
JNI,1048576,16,67891
JNI,1048576,16,66318
JNI,1048576,16,78075
JNI,1048576,16,74301
JNI,1048576,16,70398
JNI,1048576,16,66865
JNI,1048576,16,62633
JNI,1048576,16,208287
JNI,1048576,16,66639
JNI,1048576,16,93674
JNI,1048576,16,66136
JNI,1048576,16,65282
JNI,1048576,16,203000
JNI,1048576,16,82945
JNI,1048576,16,62594
JNI,1048576,16,62221
JNI,1048576,16,63239
JNI,1048576,16,63192
JNI,1048576,16,143712
JNI,1048576,16,83939
JNI,1048576,16,72071
JNI,1048576,16,65312
JNI,1048576,16,1302676
JNI,1048576,16,160251
JNI,1048576,16,110075
JNI,1048576,16,102244
JNI,1048576,16,93165
JNI,1048576,16,154354
JNI,1048576,16,252360
JNI,1048576,16,111071
JNI,1048576,16,74260
JNI,1048576,16,80578
JNI,1048576,16,69195
JNI,1048576,16,89092
JNI,1048576,16,71091
JNI,1048576,16,60946
JNI,1048576,16,59558
JNI,1048576,16,59051
JNI,1048576,16,103757
JNI,1048576,16,103807
JNI,1048576,16,84549
JNI,1048576,16,76140
JNI,1048576,16,70061
JNI,1048576,16,68665
JNI,1048576,16,68603
JNI,1048576,16,71166
JNI,1048576,16,69100
JNI,1048576,16,69350
JNI,1048576,16,65996
JNI,1048576,16,62220
JNI,1048576,16,61371
JNI,1048576,16,58940
JNI,1048576,16,57392
JNI,1048576,16,58553
JNI,1048576,16,60644
JNI,1048576,16,63213
