testType,requestBytes,responseBytes,executionNanos
JNI,16,8192,3932
JNI,16,8192,8900
JNI,16,8192,6870
JNI,16,8192,5712
JNI,16,8192,5445
JNI,16,8192,6547
JNI,16,8192,7969
JNI,16,8192,6964
JNI,16,8192,5478
JNI,16,8192,5417
JNI,16,8192,5588
JNI,16,8192,6099
JNI,16,8192,5480
JNI,16,8192,5771
JNI,16,8192,8595
JNI,16,8192,5377
JNI,16,8192,5294
JNI,16,8192,8097
JNI,16,8192,7049
JNI,16,8192,5120
JNI,16,8192,5579
JNI,16,8192,6666
JNI,16,8192,5129
JNI,16,8192,5221
JNI,16,8192,5215
JNI,16,8192,5530
JNI,16,8192,12043
JNI,16,8192,7485
JNI,16,8192,5828
JNI,16,8192,7624
JNI,16,8192,5457
JNI,16,8192,5562
JNI,16,8192,7474
JNI,16,8192,5425
JNI,16,8192,7487
JNI,16,8192,5310
JNI,16,8192,5199
JNI,16,8192,5298
JNI,16,8192,4905
JNI,16,8192,4960
JNI,16,8192,5344
JNI,16,8192,6533
JNI,16,8192,5726
JNI,16,8192,5719
JNI,16,8192,8468
JNI,16,8192,5878
JNI,16,8192,5537
JNI,16,8192,5352
JNI,16,8192,6193
JNI,16,8192,5340
JNI,16,8192,5135
JNI,16,8192,5443
JNI,16,8192,5118
JNI,16,8192,5549
JNI,16,8192,5378
JNI,16,8192,6764
JNI,16,8192,5443
JNI,16,8192,5116
JNI,16,8192,5281
JNI,16,8192,5630
JNI,16,8192,8144
JNI,16,8192,5389
JNI,16,8192,6443
JNI,16,8192,5526
JNI,16,8192,5224
JNI,16,8192,9977
JNI,16,8192,5419
JNI,16,8192,5205
JNI,16,8192,6030
JNI,16,8192,6732
JNI,16,8192,5411
JNI,16,8192,5613
JNI,16,8192,5300
JNI,16,8192,5620
JNI,16,8192,5566
JNI,16,8192,7574
JNI,16,8192,6403
JNI,16,8192,5554
JNI,16,8192,5623
JNI,16,8192,5562
JNI,16,8192,5245
JNI,16,8192,5371
JNI,16,8192,5559
JNI,16,8192,6633
JNI,16,8192,5634
JNI,16,8192,11305
JNI,16,8192,5645
JNI,16,8192,5538
JNI,16,8192,5457
JNI,16,8192,5723
JNI,16,8192,6887
JNI,16,8192,7619
JNI,16,8192,5707
JNI,16,8192,5537
JNI,16,8192,5721
JNI,16,8192,5603
JNI,16,8192,5217
JNI,16,8192,6430
JNI,16,8192,6176
JNI,16,8192,5359
JNI,16,8192,5333
JNI,16,8192,5443
JNI,16,8192,10820
JNI,16,8192,6077
JNI,16,8192,6553
JNI,16,8192,5491
JNI,16,8192,7924
JNI,16,8192,5531
JNI,16,8192,5784
JNI,16,8192,5269
JNI,16,8192,5581
JNI,16,8192,6782
JNI,16,8192,5358
JNI,16,8192,7053
JNI,16,8192,5182
JNI,16,8192,5375
JNI,16,8192,5449
JNI,16,8192,7285
JNI,16,8192,7075
JNI,16,8192,5540
JNI,16,8192,5347
JNI,16,8192,5409
JNI,16,8192,5349
JNI,16,8192,5832
JNI,16,8192,6802
JNI,16,8192,5440
JNI,16,8192,5521
JNI,16,8192,5640
JNI,16,8192,5558
JNI,16,8192,5640
JNI,16,8192,6339
JNI,16,8192,5143
JNI,16,8192,5267
JNI,16,8192,5045
JNI,16,8192,5589
JNI,16,8192,7264
JNI,16,8192,5155
JNI,16,8192,6575
JNI,16,8192,5680
JNI,16,8192,5580
JNI,16,8192,6101
JNI,16,8192,5910
JNI,16,8192,5352
JNI,16,8192,5145
JNI,16,8192,6943
JNI,16,8192,5136
JNI,16,8192,5682
JNI,16,8192,5246
JNI,16,8192,5276
JNI,16,8192,5205
JNI,16,8192,5143
JNI,16,8192,8374
JNI,16,8192,5322
JNI,16,8192,5429
JNI,16,8192,5145
JNI,16,8192,7716
JNI,16,8192,5580
JNI,16,8192,7953
JNI,16,8192,6686
JNI,16,8192,12150
JNI,16,8192,8136
JNI,16,8192,6462
JNI,16,8192,6511
JNI,16,8192,4992
JNI,16,8192,6446
JNI,16,8192,7227
JNI,16,8192,5500
JNI,16,8192,5136
JNI,16,8192,7649
JNI,16,8192,9666
JNI,16,8192,5410
JNI,16,8192,5209
JNI,16,8192,4984
JNI,16,8192,5339
JNI,16,8192,4955
JNI,16,8192,5009
JNI,16,8192,5091
JNI,16,8192,10488
JNI,16,8192,8897
