testType,requestBytes,responseBytes,executionNanos
JNI,262144,262144,91784
JNI,262144,262144,271083
JNI,262144,262144,126066
JNI,262144,262144,194854
JNI,262144,262144,174401
JNI,262144,262144,155185
JNI,262144,262144,396066
JNI,262144,262144,148158
JNI,262144,262144,147060
JNI,262144,262144,324156
JNI,262144,262144,151370
JNI,262144,262144,143968
JNI,262144,262144,161474
JNI,262144,262144,149457
JNI,262144,262144,172937
JNI,262144,262144,199644
JNI,262144,262144,260431
JNI,262144,262144,150773
JNI,262144,262144,152869
JNI,262144,262144,150745
JNI,262144,262144,149549
JNI,262144,262144,151120
JNI,262144,262144,154507
JNI,262144,262144,151401
JNI,262144,262144,151692
JNI,262144,262144,144954
JNI,262144,262144,155116
JNI,262144,262144,151821
JNI,262144,262144,178785
JNI,262144,262144,149558
JNI,262144,262144,165812
JNI,262144,262144,153721
JNI,262144,262144,145288
JNI,262144,262144,147861
JNI,262144,262144,695974
JNI,262144,262144,613552
JNI,262144,262144,159080
JNI,262144,262144,659868
JNI,262144,262144,159826
JNI,262144,262144,3990392
JNI,262144,262144,120759
JNI,262144,262144,120068
JNI,262144,262144,116035
JNI,262144,262144,112619
JNI,262144,262144,120916
JNI,262144,262144,119479
JNI,262144,262144,119551
JNI,262144,262144,116303
JNI,262144,262144,112399
JNI,262144,262144,114877
JNI,262144,262144,117272
JNI,262144,262144,116925
JNI,262144,262144,112782
JNI,262144,262144,96407
JNI,262144,262144,93985
JNI,262144,262144,95106
JNI,262144,262144,101728
JNI,262144,262144,97744
JNI,262144,262144,92017
JNI,262144,262144,94385
JNI,262144,262144,91707
JNI,262144,262144,92520
JNI,262144,262144,106882
JNI,262144,262144,92275
JNI,262144,262144,92575
JNI,262144,262144,96238
JNI,262144,262144,91405
JNI,262144,262144,93936
JNI,262144,262144,115449
JNI,262144,262144,116404
JNI,262144,262144,112974
JNI,262144,262144,104679
JNI,262144,262144,90724
JNI,262144,262144,92030
JNI,262144,262144,92723
JNI,262144,262144,90182
JNI,262144,262144,94177
JNI,262144,262144,92914
JNI,262144,262144,92315
JNI,262144,262144,91466
JNI,262144,262144,94462
JNI,262144,262144,101242
JNI,262144,262144,92648
JNI,262144,262144,96335
JNI,262144,262144,91883
JNI,262144,262144,93572
JNI,262144,262144,94893
JNI,262144,262144,105137
JNI,262144,262144,93086
JNI,262144,262144,93183
JNI,262144,262144,92007
JNI,262144,262144,91097
JNI,262144,262144,94170
JNI,262144,262144,98188
JNI,262144,262144,108798
JNI,262144,262144,105889
JNI,262144,262144,107227
JNI,262144,262144,119445
JNI,262144,262144,99397
JNI,262144,262144,92562
JNI,262144,262144,92927
JNI,262144,262144,93802
JNI,262144,262144,122499
JNI,262144,262144,111799
JNI,262144,262144,111986
JNI,262144,262144,138021
JNI,262144,262144,112680
JNI,262144,262144,102327
JNI,262144,262144,91838
JNI,262144,262144,102625
JNI,262144,262144,115510
JNI,262144,262144,114022
JNI,262144,262144,111146
JNI,262144,262144,117077
JNI,262144,262144,111743
JNI,262144,262144,114605
JNI,262144,262144,118602
JNI,262144,262144,115307
JNI,262144,262144,116467
JNI,262144,262144,116011
JNI,262144,262144,115604
JNI,262144,262144,109612
JNI,262144,262144,169210
JNI,262144,262144,164028
JNI,262144,262144,163443
JNI,262144,262144,164990
JNI,262144,262144,160354
JNI,262144,262144,176022
JNI,262144,262144,182679
JNI,262144,262144,162291
JNI,262144,262144,168630
JNI,262144,262144,159743
JNI,262144,262144,160591
JNI,262144,262144,168012
JNI,262144,262144,163203
JNI,262144,262144,171819
JNI,262144,262144,185613
JNI,262144,262144,156622
JNI,262144,262144,155822
JNI,262144,262144,159382
JNI,262144,262144,161199
JNI,262144,262144,166519
JNI,262144,262144,172017
JNI,262144,262144,167737
JNI,262144,262144,165590
JNI,262144,262144,187494
JNI,262144,262144,159052
JNI,262144,262144,159109
JNI,262144,262144,162725
JNI,262144,262144,158619
JNI,262144,262144,160645
JNI,262144,262144,4679317
JNI,262144,262144,299112
JNI,262144,262144,183384
JNI,262144,262144,194835
JNI,262144,262144,271673
JNI,262144,262144,179760
JNI,262144,262144,215191
JNI,262144,262144,299465
JNI,262144,262144,184174
JNI,262144,262144,187721
JNI,262144,262144,298282
JNI,262144,262144,186967
JNI,262144,262144,180633
JNI,262144,262144,172484
JNI,262144,262144,173409
JNI,262144,262144,308355
JNI,262144,262144,181217
JNI,262144,262144,170819
JNI,262144,262144,262335
JNI,262144,262144,176485
JNI,262144,262144,195810
JNI,262144,262144,170392
JNI,262144,262144,165288
JNI,262144,262144,166919
JNI,262144,262144,279147
JNI,262144,262144,170939
JNI,262144,262144,166613
JNI,262144,262144,167826
JNI,262144,262144,165566
JNI,262144,262144,161433
JNI,262144,262144,163136
JNI,262144,262144,264118
JNI,262144,262144,170824
JNI,262144,262144,177611
JNI,262144,262144,267232
JNI,262144,262144,192952
JNI,262144,262144,195285
JNI,262144,262144,297519
JNI,262144,262144,165211
JNI,262144,262144,181861
JNI,262144,262144,165445
JNI,262144,262144,173417
JNI,262144,262144,166456
JNI,262144,262144,174170
JNI,262144,262144,163238
JNI,262144,262144,178042
JNI,262144,262144,164353
JNI,262144,262144,200104
JNI,262144,262144,177152
JNI,262144,262144,167745
JNI,262144,262144,181924
JNI,262144,262144,189708
JNI,262144,262144,166746
JNI,262144,262144,175601
JNI,262144,262144,167328
JNI,262144,262144,161579
JNI,262144,262144,182364
JNI,262144,262144,160137
JNI,262144,262144,158976
JNI,262144,262144,169354
JNI,262144,262144,166579
JNI,262144,262144,170917
JNI,262144,262144,160700
JNI,262144,262144,186005
JNI,262144,262144,164673
JNI,262144,262144,165029
JNI,262144,262144,157542
JNI,262144,262144,199720
JNI,262144,262144,163785
JNI,262144,262144,163521
JNI,262144,262144,158774
JNI,262144,262144,323971
JNI,262144,262144,169714
JNI,262144,262144,161279
JNI,262144,262144,175125
JNI,262144,262144,3312890
JNI,262144,262144,156753
JNI,262144,262144,130373
JNI,262144,262144,125501
JNI,262144,262144,121038
JNI,262144,262144,126059
JNI,262144,262144,122878
JNI,262144,262144,123096
JNI,262144,262144,120863
JNI,262144,262144,119635
JNI,262144,262144,158191
JNI,262144,262144,126460
JNI,262144,262144,124408
JNI,262144,262144,138937
JNI,262144,262144,172209
JNI,262144,262144,170455
JNI,262144,262144,163997
JNI,262144,262144,262556
JNI,262144,262144,167789
JNI,262144,262144,163494
JNI,262144,262144,147694
JNI,262144,262144,143542
JNI,262144,262144,140833
JNI,262144,262144,142411
JNI,262144,262144,142407
JNI,262144,262144,140788
JNI,262144,262144,150732
JNI,262144,262144,139936
JNI,262144,262144,138826
JNI,262144,262144,175019
JNI,262144,262144,143849
JNI,262144,262144,140621
JNI,262144,262144,141745
JNI,262144,262144,151118
JNI,262144,262144,165236
JNI,262144,262144,141864
JNI,262144,262144,140176
JNI,262144,262144,137541
JNI,262144,262144,153626
JNI,262144,262144,148759
JNI,262144,262144,139599
JNI,262144,262144,145455
JNI,262144,262144,143669
JNI,262144,262144,596424
JNI,262144,262144,152015
JNI,262144,262144,271246
JNI,262144,262144,140506
JNI,262144,262144,141045
JNI,262144,262144,170183
JNI,262144,262144,272120
JNI,262144,262144,147799
JNI,262144,262144,142766
JNI,262144,262144,137951
JNI,262144,262144,237266
JNI,262144,262144,273165
JNI,262144,262144,270977
JNI,262144,262144,275601
JNI,262144,262144,243498
JNI,262144,262144,235829
JNI,262144,262144,240299
JNI,262144,262144,243170
JNI,262144,262144,235642
JNI,262144,262144,240407
JNI,262144,262144,231086
JNI,262144,262144,233362
JNI,262144,262144,235962
JNI,262144,262144,226073
JNI,262144,262144,224493
JNI,262144,262144,223490
JNI,262144,262144,219523
JNI,262144,262144,229270
JNI,262144,262144,228397
JNI,262144,262144,225707
JNI,262144,262144,242317
JNI,262144,262144,224763
JNI,262144,262144,225081
JNI,262144,262144,230674
JNI,262144,262144,219790
JNI,262144,262144,219566
JNI,262144,262144,222176
JNI,262144,262144,216294
JNI,262144,262144,219435
JNI,262144,262144,232811
JNI,262144,262144,225347
JNI,262144,262144,245982
JNI,262144,262144,194217
JNI,262144,262144,160280
JNI,262144,262144,144692
JNI,262144,262144,151122
JNI,262144,262144,149517
JNI,262144,262144,145954
JNI,262144,262144,160244
JNI,262144,262144,151482
JNI,262144,262144,146786
JNI,262144,262144,159128
JNI,262144,262144,151599
JNI,262144,262144,154610
JNI,262144,262144,160945
JNI,262144,262144,153824
JNI,262144,262144,151711
JNI,262144,262144,152142
JNI,262144,262144,148531
JNI,262144,262144,149101
JNI,262144,262144,153588
JNI,262144,262144,152294
JNI,262144,262144,148350
JNI,262144,262144,155787
JNI,262144,262144,152239
JNI,262144,262144,152258
JNI,262144,262144,152681
JNI,262144,262144,151828
JNI,262144,262144,146482
JNI,262144,262144,148558
JNI,262144,262144,145657
JNI,262144,262144,146483
JNI,262144,262144,149935
JNI,262144,262144,144801
JNI,262144,262144,149829
JNI,262144,262144,138431
JNI,262144,262144,134439
JNI,262144,262144,135137
JNI,262144,262144,136982
JNI,262144,262144,135975
JNI,262144,262144,135974
JNI,262144,262144,136182
JNI,262144,262144,135437
JNI,262144,262144,135504
JNI,262144,262144,143129
JNI,262144,262144,135781
JNI,262144,262144,135583
JNI,262144,262144,139371
JNI,262144,262144,138222
JNI,262144,262144,140081
JNI,262144,262144,141184
JNI,262144,262144,152939
JNI,262144,262144,150952
JNI,262144,262144,154032
JNI,262144,262144,147116
JNI,262144,262144,146937
JNI,262144,262144,151963
JNI,262144,262144,151553
JNI,262144,262144,151434
JNI,262144,262144,152773
JNI,262144,262144,153527
JNI,262144,262144,152815
