    (251,0)
    (280,0)
    (309,0)
    (338,0)
    (367,0)
    (396,0)
    (425,0)
    (454,0)
    (483,0)
    (512,0)
    (541,31)
    (570,57)
    (599,69)
    (628,71)
    (657,65)
    (686,67)
    (715,70)
    (744,56)
    (773,39)
    (802,30)
    (831,40)
    (860,33)
    (889,35)
    (918,31)
    (947,29)
    (976,20)
    (1005,18)
    (1034,14)
    (1063,5)
    (1092,5)
    (1121,8)
    (1150,5)
    (1179,1)
    (1208,1)
    (1237,2)
    (1266,3)
    (1295,1)
    (1324,1)
    (1353,2)
    (1382,0)
    (1411,3)
mean=756
standardDeviation=160
