    (-109,0)
    (-84,0)
    (-59,0)
    (-34,0)
    (-9,0)
    (16,0)
    (41,33)
    (66,176)
    (91,76)
    (116,67)
    (141,41)
    (166,29)
    (191,34)
    (216,14)
    (241,12)
    (266,5)
    (291,2)
    (316,3)
    (341,2)
    (366,3)
    (391,2)
    (416,1)
    (441,1)
    (466,1)
    (491,1)
    (516,0)
    (541,1)
    (566,1)
    (591,5)
    (616,35)
    (641,89)
    (666,94)
    (691,55)
    (716,34)
    (741,11)
    (766,5)
    (791,5)
    (816,2)
    (841,2)
    (866,2)
    (891,1)
mean=340
standardDeviation=279
