    (2065,0)
    (2325,0)
    (2585,0)
    (2845,6)
    (3105,56)
    (3365,22)
    (3625,27)
    (3885,26)
    (4145,18)
    (4405,35)
    (4665,79)
    (4925,92)
    (5185,87)
    (5445,95)
    (5705,58)
    (5965,40)
    (6225,44)
    (6485,33)
    (6745,19)
    (7005,20)
    (7265,13)
    (7525,17)
    (7785,8)
    (8045,9)
    (8305,5)
    (8565,2)
    (8825,3)
    (9085,1)
    (9345,1)
    (9605,3)
    (9865,2)
    (10125,2)
    (10385,2)
    (10645,4)
    (10905,4)
    (11165,5)
    (11425,7)
    (11685,8)
    (11945,6)
    (12205,7)
    (12465,5)
mean=5618
standardDeviation=1910
